,Champion,Date,Days,Days recog.,Defences,Defenses,Event,Location,No.,Notes,Promotion,Ref.,Reign,Title_Name,Unnamed: 10_level_1,Unnamed: 9_level_1
49,Impact Wrestling Knockouts Championship,Impact Wrestling Knockouts Championship,Impact Wrestling Knockouts Championship,,,,Impact Wrestling Knockouts Championship,Impact Wrestling Knockouts Championship,Impact Wrestling Knockouts Championship,Impact Wrestling Knockouts Championship,IMPACT,Impact Wrestling Knockouts Championship,Impact Wrestling Knockouts Championship,Impact_Knockouts_World_Champions,Impact Wrestling Knockouts Championship,Impact Wrestling Knockouts Championship
50,Sienna,"July 2, 2017",126,,,,Slammiversary XV,"Orlando, FL",47,"This was a unification match to unify the Impact Wrestling Knockouts Championship and the GFW Women's Championship. The Championship was renamed to GFW Knockouts Championship. During Sienna's second reign, the championship was once again renamed to Impact Knockouts Championship.",IMPACT,[56],2,Impact_Knockouts_World_Champions,,
51,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,,,,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,IMPACT,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,Impact_Knockouts_World_Champions,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship,Unified GFW Knockouts Championship / GFW Knockouts Championship / Impact Knockouts Championship
52,Gail Kim,"November 5, 2017",1,,,,Bound for Glory,"Ottawa, ON",48,This was a three-way match also involving Allie.,IMPACT,,7,Impact_Knockouts_World_Champions,,
53,Vacated,"November 6, 2017",—,,,,Impact!,"Ottawa, ON",—,"The championship was declared vacant due to Kim's legit retirement. This episode aired on tape delay on November 16, 2017.",IMPACT,,—,Impact_Knockouts_World_Champions,,
54,Laurel Van Ness,"November 8, 2017",65,,,,Impact!,"Ottawa, ON",49,"Laurel Van Ness defeated Rosemary to win the vacant title. This episode aired on tape delay on December 14, 2017.",IMPACT,[57],1,Impact_Knockouts_World_Champions,,
55,Allie,"January 12, 2018",102,,,,Impact! Crossroads,"Orlando, FL",50,"This episode aired on tape delay on March 8, 2018.",IMPACT,[58],2,Impact_Knockouts_World_Champions,,
56,Su Yung,"April 24, 2018",110,,,,Impact! Under Pressure,"Orlando, FL",51,"This was a Last Rites match. This episode aired on tape delay on May 31, 2018.",IMPACT,,1,Impact_Knockouts_World_Champions,,
57,Tessa Blanchard,"August 12, 2018",147,,,,Impact! ReDefined,"Toronto, ON",52,"This was a three-way match also involving Allie. Blanchard pinned Allie to win the title. This episode aired on tape delay on August 30, 2018.",IMPACT,,1,Impact_Knockouts_World_Champions,,
58,Taya Valkyrie,"January 6, 2019",377,,,,Homecoming,"Nashville, TN",53,Gail Kim served as the special guest referee.,IMPACT,,1,Impact_Knockouts_World_Champions,,
59,Jordynne Grace,"January 18, 2020",182,,,,Impact!,"Mexico City, Mexico",54,"This episode aired on tape delay on February 11, 2020.",IMPACT,[59],1,Impact_Knockouts_World_Champions,,
60,Deonna Purrazzo,"July 18, 2020",98,,,,Slammiversary,"Nashville, TN",55,,IMPACT,[60],1,Impact_Knockouts_World_Champions,,
61,Su Yung,"October 24, 2020",21,,,,Bound for Glory,"Nashville, TN",56,,IMPACT,[61],2,Impact_Knockouts_World_Champions,,
62,Deonna Purrazzo,"November 14, 2020",343,,,,Turning Point,"Nashville, TN",57,This was a No Disqualification match.,IMPACT,[62],2,Impact_Knockouts_World_Champions,,
63,Mickie James,"October 23, 2021",126+,,,,Bound for Glory,"Sunrise Manor, NV",58,,IMPACT,[63],4,Impact_Knockouts_World_Champions,,
0,TNA Legends Championship,TNA Legends Championship,TNA Legends Championship,,,,TNA Legends Championship,TNA Legends Championship,TNA Legends Championship,TNA Legends Championship,IMPACT,TNA Legends Championship,TNA Legends Championship,TNA_Television_Championship,TNA Legends Championship,TNA Legends Championship
1,Booker T,"October 23, 2008",143,,,,TNA Impact,"Las Vegas, NV",1,Booker T declared himself the first champion after he unveiled the title belt. The title was then known as the TNA Legends Championship and was unsanctioned by TNA in the storyline.,IMPACT,[3][8],1,TNA_Television_Championship,,
2,A.J. Styles,"March 15, 2009",126,,,,Destination X,"Orlando, FL",2,"On the March 19, 2009 episode of Impact!, A.J. Styles was credited as becoming the first-ever TNA Grand Slam Champion thanks to winning the TNA Legends Championship. The title became officially sanctioned by the promotion after this title change.",IMPACT,[9][10][11][12],1,TNA_Television_Championship,,
3,Kevin Nash,"July 19, 2009",3,,,,Victory Road,"Orlando, FL",3,,IMPACT,[13][14],1,TNA_Television_Championship,,
4,Mick Foley,"July 22, 2009",25,,,,TNA Impact,"Orlando, FL",4,"Foley teamed with Bobby Lashley against TNA Legends Champion Kevin Nash and TNA World Heavyweight Champion Kurt Angle in a Tag Team match, in which if a champion was pinned he lost his title. Foley pinned Nash to become the new champion. This episode aired on tape delay on July 30, 2009.",IMPACT,[15][16],1,TNA_Television_Championship,,
5,Kevin Nash,"August 16, 2009",63,,,,Hard Justice,"Orlando, FL",5,,IMPACT,[17][18],2,TNA_Television_Championship,,
6,Eric Young,"October 18, 2009",101,,,,Bound for Glory,"Irvine, California",6,"Young renamed the title the ""TNA Global Championship"" on the October 29, 2009 episode of TNA Impact!.",IMPACT,[4][19][20],1,TNA_Television_Championship,,
7,TNA Global Championship,TNA Global Championship,TNA Global Championship,,,,TNA Global Championship,TNA Global Championship,TNA Global Championship,TNA Global Championship,IMPACT,TNA Global Championship,TNA Global Championship,TNA_Television_Championship,TNA Global Championship,TNA Global Championship
8,Rob Terry,"January 27, 2010",167,,,,Live event,"Cardiff, Wales",7,,IMPACT,[21][22],1,TNA_Television_Championship,,
9,A.J. Styles,"July 13, 2010",145,,,,TNA Impact,"Orlando, FL",8,"This episode aired on tape delay on July 22, 2010. A.J. Styles renamed the title the ""TNA Television Championship"" on the July 29, 2010 episode of TNA Impact!.",IMPACT,[5][23][24],2,TNA_Television_Championship,,
10,TNA Television Championship,TNA Television Championship,TNA Television Championship,,,,TNA Television Championship,TNA Television Championship,TNA Television Championship,TNA Television Championship,IMPACT,TNA Television Championship,TNA Television Championship,TNA_Television_Championship,TNA Television Championship,TNA Television Championship
11,Douglas Williams,"December 5, 2010",35,,,,Final Resolution,"Orlando, FL",9,,IMPACT,[25][26],1,TNA_Television_Championship,,
12,Abyss,"January 9, 2011",64,,,,Genesis,"Orlando, FL",10,,IMPACT,[27][28],1,TNA_Television_Championship,,
13,Vacated,"March 14, 2011",—,,,,TNA Impact,"Orlando, FL",—,"The title was vacated due to Abyss being unable to defend it after suffering a storyline injury. This episode aired on tape delay on March 17, 2011.",IMPACT,[29][30],—,TNA_Television_Championship,,
14,Gunner,"March 14, 2011",64,,,,TNA Impact,"Orlando, FL",11,"Gunner defeated Murphy and Rob Terry in a Three-way match to win the vacant title. This episode aired on tape delay on March 17, 2011. Impact was re-branded Impact Wrestling on May 3, 2011 at the scheduled episode tapings.",IMPACT,[29][30][31],1,TNA_Television_Championship,,
15,Eric Young,"May 17, 2011",180,,,,Impact Wrestling,"Orlando, FL",12,"This episode aired on tape delay on May 26, 2011.",IMPACT,[32][33],2,TNA_Television_Championship,,
16,Robbie E,"November 13, 2011",126,,,,Turning Point,"Orlando, FL",13,,IMPACT,[34][35],1,TNA_Television_Championship,,
17,Devon,"March 18, 2012",192,,,,Victory Road,"Orlando, FL",14,,IMPACT,[36][37],1,TNA_Television_Championship,,
18,Vacated,"September 26, 2012",—,,,,—,—,—,The title was vacated due to contract negotiations between TNA and Devon breaking off.,IMPACT,[38],—,TNA_Television_Championship,,
19,Samoa Joe,"September 27, 2012",70,,,,Impact Wrestling,"Orlando, FL",15,Joe defeated Mr. Anderson to win the vacant championship.,IMPACT,[39][40],1,TNA_Television_Championship,,
20,Devon,"December 6, 2012",178,,,,Impact Wrestling,"Orlando, FL",16,,IMPACT,[41][42],2,TNA_Television_Championship,,
21,Abyss,"June 2, 2013",396,,,,Slammiversary XI,"Boston, MA",17,,IMPACT,[43][44],2,TNA_Television_Championship,,
22,Deactivated,"July 3, 2014",—,,,,—,—,—,"TNA Executive Director Kurt Angle declared the title inactive. The championship had not been defended, seen, or even mentioned throughout the entirety of Abyss's reign.",IMPACT,[6],—,TNA_Television_Championship,,
23,TNA King of the Mountain Championship,TNA King of the Mountain Championship,TNA King of the Mountain Championship,,,,TNA King of the Mountain Championship,TNA King of the Mountain Championship,TNA King of the Mountain Championship,TNA King of the Mountain Championship,IMPACT,TNA King of the Mountain Championship,TNA King of the Mountain Championship,TNA_Television_Championship,TNA King of the Mountain Championship,TNA King of the Mountain Championship
24,Jeff Jarrett,"June 28, 2015",29,,,,Slammiversary,"Orlando, FL",18,"The title was reactivated by TNA on June 25, 2015 and renamed the ""TNA King of the Mountain Championship."" Jarrett defeated Bobby Roode, Drew Galloway, Eric Young and Matt Hardy in a King of the Mountain match to win the reactivated championship.",IMPACT,[2],1,TNA_Television_Championship,,
25,Vacated,"July 27, 2015",—,,,,Impact Wrestling,"Orlando, FL",—,"The title was vacated after Jeff Jarrett became TNA General Manager. This episode aired on tape delay on August 12, 2015.",IMPACT,[45],—,TNA_Television_Championship,,
26,PJ Black,"July 27, 2015",1,,,,Impact Wrestling,"Orlando, FL",19,"Black defeated Lashley, Chris Mordetzky, Eric Young and Robbie E in a King of the Mountain match to win the vacant title. This episode aired on tape delay on August 12, 2015.",IMPACT,[45],1,TNA_Television_Championship,,
27,Bobby Roode,"July 28, 2015",162,,,,Impact Wrestling,"Orlando, FL",20,"This episode aired on tape delay on September 2, 2015.",IMPACT,[46],1,TNA_Television_Championship,,
28,Eric Young,"January 6, 2016",73,,,,Impact Wrestling,"Bethlehem, PA",21,"This episode aired on tape delay on January 12, 2016. With this victory, Young becomes the only wrestler to win this championship under all four of its incarnations.",IMPACT,[47],3,TNA_Television_Championship,,
29,Bram,"March 19, 2016",35,,,,Impact Wrestling: Sacrifice,"Orlando, FL",22,"This was contested in Falls Count Anywhere match. This episode aired on tape delay on April 26, 2016.",IMPACT,[48],1,TNA_Television_Championship,,
30,Eli Drake,"April 23, 2016",82,,,,Impact Wrestling,"Orlando, FL",23,"Drake invoked his Feast or Fired contract after Bram had been attacked by Lashley.This episode aired on tape delay on May 31, 2016.",IMPACT,[49],1,TNA_Television_Championship,,
31,James Storm,"July 14, 2016",28,,,,Impact Wrestling,"Orlando, FL",24,"This episode aired on tape delay on August 4, 2016.",IMPACT,[50],1,TNA_Television_Championship,,
32,Lashley,"August 11, 2016",1,,,,Impact Wrestling,"Orlando, FL",25,"This was a Winner Takes All match, also for Lashley's TNA World Heavyweight Championship and TNA X Division Championship.",IMPACT,[51],1,TNA_Television_Championship,,
33,Deactivated,"August 12, 2016",—,,,,Impact Wrestling,"Orlando, FL",—,"Lashley unified the championship with his TNA World Heavyweight Championship, however at the August 13, 2016 tapings of Impact Wrestling, TNA President Billy Corgan announced that the title would be deactivated and retired. This episode aired on tape delay on August 18, 2016.",IMPACT,[52],—,TNA_Television_Championship,,
0,Aron Rex,"October 2, 2016",7,,,,Bound for Glory,"Orlando, Florida",1,"Defeated Eddie Edwards in a tournament final by split decision to become the inaugural champion. Edwards was a substitute for Drew Galloway, who was legitimately injured.",IMPACT,[6],1,Impact_Grand_Championship,,
1,Moose,"October 9, 2016",90,,,,Impact Wrestling,"Orlando, Florida",2,"Aired on tape delay December 1, 2016.",IMPACT,[7],1,Impact_Grand_Championship,,
2,Drew Galloway,"January 7, 2017",5,,,,Impact Wrestling,"Orlando, Florida",3,"Aired on tape delay January 19, 2017.",IMPACT,[8],1,Impact_Grand_Championship,,
3,Moose,"January 12, 2017",174,,,,Impact Wrestling,"Orlando, Florida",4,"Won by split decision.Aired on tape delay March 2, 2017.",IMPACT,[9],2,Impact_Grand_Championship,,
4,Ethan Carter III,"July 5, 2017",128,,,,Impact!,"Orlando, Florida",5,"Won by split decision.Aired on tape delay August 3, 2017.",IMPACT,,1,Impact_Grand_Championship,,
5,Matt Sydal,"November 10, 2017",64,,,,Impact!,"Ottawa, Ontario, Canada",6,"Aired on tape delay January 25, 2018.",IMPACT,,1,Impact_Grand_Championship,,
6,Josh Mathews,"January 13, 2018",1,,,,Impact!,"Orlando, Florida",7,"Mathews was gifted the title by Sydal after he was revealed as Sydal's ""spirit guide"".Aired on tape delay March 15, 2018.",IMPACT,[10],1,Impact_Grand_Championship,,
7,Austin Aries,"January 14, 2018",141,,,,Impact!,"Orlando, Florida",8,"Defeated Matt Sydal (defending on Mathews' behalf) in a Winner Take All match, with Aries' Impact World Heavyweight Championship also at stake.Aired on tape delay March 29, 2018.",IMPACT,[11],1,Impact_Grand_Championship,,
8,Unified,"June 4, 2018",—,,,,Slammiversary XVI Press Conference,"Toronto, Ontario, Canada",—,Aries unified the title with the Impact World Championship,IMPACT,[12],—,Impact_Grand_Championship,,
0,Moose,"April 8–10, 2020",319–321,301,,,RebellionNight 2,"Nashville, TN",†,"Moose unofficially declared himself the TNA World Heavyweight Champion after defeating Hernandez and Michael Elgin in a triple threat match, which was originally scheduled to be for the Impact World Championship, but reigning champion Tessa Blanchard missed the tapings due to the COVID-19 pandemic. This event aired on tape delay on April 28, 2020.",IMPACT,[11],—,TNA_World_Heavyweight_Championship,,
1,Moose,"February 23, 2021",18,18,,,Impact!,"Nashville, TN",1,Impact Wrestling officially sanctioned Moose's TNA World Heavyweight Championship as a separate title from the Impact World Championship.,IMPACT,[12],1,TNA_World_Heavyweight_Championship,,
2,Rich Swann,"March 13, 2021",<1,<1,,,Sacrifice,"Nashville, TN",2,This was a championship unification match in which Swann defended the Impact World Championship.,IMPACT,[9],1,TNA_World_Heavyweight_Championship,,
3,Unified,"March 13, 2021",—,—,,,Sacrifice,"Nashville, TN",—,"Rich Swann defeated Moose to unify the TNA World Heavyweight Championship with his Impact World Championship, which briefly became known as the Impact Unified World Championship.",IMPACT,[9],—,TNA_World_Heavyweight_Championship,,
0,National Wrestling Alliance (NWA),National Wrestling Alliance (NWA),National Wrestling Alliance (NWA),National Wrestling Alliance (NWA),,,National Wrestling Alliance (NWA),National Wrestling Alliance (NWA),National Wrestling Alliance (NWA),National Wrestling Alliance (NWA),NWA,National Wrestling Alliance (NWA),National Wrestling Alliance (NWA),NWA_World_Heavyweight_Championship,National Wrestling Alliance (NWA),
1,Orville Brown,"July 14, 1948",501,501,,,House show,"Des Moines, IA",1,"In July 1948, the National Wrestling Alliance (NWA) was founded and Brown was recognized as the first official NWA Worlds Heavyweight Champion. His reign length is calculated from the date he defeated Sonny Myers to first claim the world championship.",NWA,[a],1,NWA_World_Heavyweight_Championship,,
2,Lou Thesz,"November 27, 1949",1941,2300,,,,,2,"Awarded when Orville Brown suffered career-ending injuries in an automobile accident on November 1, 1949. Thesz had earlier won the National Wrestling Association's World Heavyweight Championship on July 20, 1948 from Wild Bill Longson. Thesz became the undisputed champion of all of wrestling by winning the Los Angeles Olympic Auditorium World Heavyweight Championship, the remaining major world championship at the time other than the NWA Worlds Heavyweight Championship, defeating Baron Michele Leone on May 21, 1952. The first design of the championship belt would become known as the ""Lou Thesz Belt"" because of Thesz's long reign.",NWA,[b],1,NWA_World_Heavyweight_Championship,,
